Year,Banvænt/óbanvænt,Kyn,Þjóðerni,Value
1980,Alls,Bæði,Öll,8
1981,Alls,Bæði,Öll,8
1982,Alls,Bæði,Öll,7
1983,Alls,Bæði,Öll,3
1984,Alls,Bæði,Öll,344
1985,Alls,Bæði,Öll,358
1986,Alls,Bæði,Öll,380
1987,Alls,Bæði,Öll,403
1988,Alls,Bæði,Öll,417
1989,Alls,Bæði,Öll,444
1990,Alls,Bæði,Öll,763
1991,Alls,Bæði,Öll,668
1992,Alls,Bæði,Öll,672
1993,Alls,Bæði,Öll,670
1994,Alls,Bæði,Öll,673
1995,Alls,Bæði,Öll,884
1996,Alls,Bæði,Öll,1084
1997,Alls,Bæði,Öll,1236
1998,Alls,Bæði,Öll,1337
1999,Alls,Bæði,Öll,1360
2000,Alls,Bæði,Öll,1444
2001,Alls,Bæði,Öll,1419
2002,Alls,Bæði,Öll,1398
2003,Alls,Bæði,Öll,1476
2004,Alls,Bæði,Öll,1879
2005,Alls,Bæði,Öll,1633
2006,Alls,Bæði,Öll,1740
2007,Alls,Bæði,Öll,1926
2008,Alls,Bæði,Öll,1865
2009,Alls,Bæði,Öll,1367
2010,Alls,Bæði,Öll,1339
2011,Alls,Bæði,Öll,1557
2012,Alls,Bæði,Öll,1642
2013,Alls,Bæði,Öll,1803
2014,Alls,Bæði,Öll,1967
2015,Alls,Bæði,Öll,2085
2016,Alls,Bæði,Öll,2117
2017,Alls,Bæði,Öll,2137
2018,Alls,Bæði,Öll,2204
2019,Alls,Bæði,Öll,2234
2020,Alls,Bæði,Öll,1810
2021,Alls,Bæði,Öll,1877
2022,Alls,Bæði,Öll,1950
1980,Banvænt,Bæði,Öll,8
1981,Banvænt,Bæði,Öll,8
1982,Banvænt,Bæði,Öll,7
1983,Banvænt,Bæði,Öll,3
1984,Banvænt,Bæði,Öll,5
1985,Banvænt,Bæði,Öll,6
1986,Banvænt,Bæði,Öll,5
1987,Banvænt,Bæði,Öll,4
1988,Banvænt,Bæði,Öll,1
1989,Banvænt,Bæði,Öll,7
1990,Banvænt,Bæði,Öll,5
1991,Banvænt,Bæði,Öll,9
1992,Banvænt,Bæði,Öll,4
1993,Banvænt,Bæði,Öll,4
1994,Banvænt,Bæði,Öll,8
1995,Banvænt,Bæði,Öll,3
1996,Banvænt,Bæði,Öll,3
1997,Banvænt,Bæði,Öll,4
1998,Banvænt,Bæði,Öll,2
1999,Banvænt,Bæði,Öll,7
2000,Banvænt,Bæði,Öll,4
2001,Banvænt,Bæði,Öll,3
2002,Banvænt,Bæði,Öll,0
2003,Banvænt,Bæði,Öll,4
